original_title,release_year,vote_count,vote_average,revenue
Inception,2010.0,30184.0,8.3,825532764.0
Interstellar,2014.0,26999.0,8.4,701729206.0
The Dark Knight,2008.0,26148.0,8.5,1004558444.0
Deadpool,2016.0,25733.0,7.6,783100000.0
The Avengers,2012.0,25642.0,7.7,1518815515.0
Avatar,2009.0,24280.0,7.5,2847246203.0
Guardians of the Galaxy,2014.0,23329.0,7.9,772776600.0
Avengers: Infinity War,2018.0,23027.0,8.3,2046239637.0
Fight Club,1999.0,22758.0,8.4,100853753.0
Pulp Fiction,1994.0,22032.0,8.5,214179088.0
Iron Man,2008.0,21554.0,7.6,585174222.0
Forrest Gump,1994.0,21522.0,8.5,677387716.0
Django Unchained,2012.0,21484.0,8.1,425368238.0
Harry Potter and the Philosopher's Stone,2001.0,21302.0,7.9,976475550.0
The Matrix,1999.0,20163.0,8.2,463517383.0
The Shawshank Redemption,1994.0,20048.0,8.7,28341469.0
Titanic,1997.0,19999.0,7.9,2187463944.0
The Lord of the Rings: The Fellowship of the Ring,2001.0,19964.0,8.4,871368364.0
Avengers: Endgame,2019.0,19434.0,8.3,2797800564.0
Joker,2019.0,18970.0,8.2,1074251311.0
Captain America: Civil War,2016.0,18797.0,7.4,1153296293.0
Shutter Island,2010.0,18779.0,8.2,294800000.0
Avengers: Age of Ultron,2015.0,18757.0,7.3,1405403694.0
Mad Max: Fury Road,2015.0,18593.0,7.5,378858340.0
The Wolf of Wall Street,2013.0,18565.0,8.0,392000000.0
The Dark Knight Rises,2012.0,18529.0,7.8,1081041287.0
Iron Man 3,2013.0,18524.0,6.9,1214811252.0
The Lord of the Rings: The Return of the King,2003.0,18523.0,8.5,1118888979.0
The Hunger Games,2012.0,18477.0,7.2,691210692.0
Suicide Squad,2016.0,18110.0,5.9,746846894.0
Black Panther,2018.0,18107.0,7.4,1346739107.0
Doctor Strange,2016.0,17709.0,7.4,677700000.0
Inglourious Basterds,2009.0,17709.0,8.2,321455689.0
Captain America: The First Avenger,2011.0,17604.0,7.0,370569774.0
Guardians of the Galaxy Vol. 2,2017.0,17344.0,7.6,863756051.0
Jurassic World,2015.0,17336.0,6.7,1671713208.0
The Lord of the Rings: The Two Towers,2002.0,17256.0,8.4,926287400.0
Thor,2011.0,17242.0,6.8,449326618.0
Harry Potter and the Chamber of Secrets,2002.0,17203.0,7.7,876688482.0
Inside Out,2015.0,17090.0,7.9,857611174.0
Spider-Man: Homecoming,2017.0,17065.0,7.4,880166924.0
Wonder Woman,2017.0,17040.0,7.3,821847012.0
Iron Man 2,2010.0,16914.0,6.8,623933331.0
Harry Potter and the Prisoner of Azkaban,2004.0,16913.0,8.0,789804554.0
Batman Begins,2005.0,16797.0,7.7,374218673.0
Thor: Ragnarok,2017.0,16679.0,7.6,853977126.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,16599.0,7.8,655011224.0
Up,2009.0,16406.0,7.9,735099082.0
Harry Potter and the Deathly Hallows: Part 2,2011.0,16362.0,8.1,1341511219.0
Star Wars: The Force Awakens,2015.0,16314.0,7.3,2068223624.0
