original_title,release_year,vote_average,vote_count,weighted_rating
The Shawshank Redemption,1994.0,8.7,20048.0,8.622637542601154
The Godfather,1972.0,8.7,15020.0,8.597841946402845
Schindler's List,1993.0,8.6,11994.0,8.478697912553114
The Dark Knight,2008.0,8.5,26148.0,8.445213785735064
The Godfather: Part II,1974.0,8.6,9028.0,8.441589387750893
Pulp Fiction,1994.0,8.5,22032.0,8.435279599901317
Forrest Gump,1994.0,8.5,21522.0,8.433792069636853
The Lord of the Rings: The Return of the King,2003.0,8.5,18523.0,8.423445355490244
君の名は。,2016.0,8.6,8013.0,8.423066419750242
The Green Mile,1999.0,8.5,12992.0,8.392446648461865
기생충,2019.0,8.5,12445.0,8.38795992724444
千と千尋の神隠し,2001.0,8.5,11996.0,8.383987377007756
La vita è bella,1997.0,8.5,10564.0,8.36919580372883
GoodFellas,1990.0,8.5,9475.0,8.355151221604354
Interstellar,2014.0,8.4,26999.0,8.349311285530463
